clases;Varianza_aX;Varianza_aY;Varianza_aZ;Varianza_gX;Varianza_gY;Varianza_gZ;Suelo
165;3229989394;0.01075336;3756965573;756484529.2;4912615558;478476600.8;0
166;3420191819;0.02736585;2445052414;1474036450;26724906894;1626578448;0
167;0.17414476;0.01925476;1810079975;2999180068;62846911395;282944794.9;0
168;4103949442;0.03391861;2743677105;2841194785;24139726378;1569350959;0
169;385811.05;0.04899064;3466977615;1241832408;7463641350;2283879685;0
170;1286951611;0.04536864;4191203437;1771204476;4447343136;2434802911;0
171;3197490169;0.01937056;1808084606;3976453029;47346184455;3037174319;0
172;0.09168336;0.00758069;0.27503684;6813349451;59594409810;668210854.3;0
173;4102991715;0.03085121;3407982958;2771961614;26539715131;1635885519;0
174;2379853582;0.10964641;2597920205;610036391.6;3257022369;3076387881;0
175;0.28862969;0.00818621;3536887242;1270763197;25518138422;1229300435;0
176;2205162992;0.01128624;2795423405;1343099565;40591416686;1478378630;0
177;0.17597524;0.01143064;190185.07;1818443522;38774340362;1404315013;0
178;3202318325;0.03975269;3077327924;1662779130;14681100714;1446789338;0
179;4209388018;0.07367249;2875299312;1482122270;22551971206;1641853199;0
180;0.17681249;0.02622869;4503465829;2209782943;37937831049;665506772.6;0
181;0.00743396;0.00329416;1472480456;781017775.6;29068422428;1393982420;0
182;0.2349658;0.02399821;2585204246;1733238197;21671514181;1362211876;0
183;1991179072;0.02687385;3392847677;3361911532;8105749922;426952590.4;0
184;2321585998;0.04112681;2899645271;1413602509;21111628841;1073040791;0
185;0.13272069;0.01120641;1898069235;2225284920;43868626541;510618639.8;0
186;3612356157;0.01000484;3210207731;1409689082;28518619185;1932092564;0
187;1949518614;0.0466362;2166980384;416787833.6;6695008112;1544561551;0
188;0.31146649;0.0068782;405847541;1222585610;5856027924;514403266.2;0
189;2619827242;0.01833176;3615407603;2419297940;39389345323;1386305940;0
190;0.09238056;0.02597381;1465767672;3261352474;56911416434;442511706.6;0
191;437936743;0.01818884;1019113089;1711706556;26976683688;1091291809;0
192;3418696838;0.0773502;2299612019;598708919.7;5735742481;1683976782;0
193;3204054812;0.02350281;2976859212;1478979566;18060467420;474864559.8;0
194;3715849168;0.00219809;9950019865;1624979009;29335948541;1416823896;0
195;0.10335009;0.01045744;0.42684524;4253604776;60903914942;657406621.7;0
196;291791444;0.00825581;2986447598;1472051101;19851398483;391380981.4;0
197;3048595664;0.04788216;3211482629;379688189.8;7229429069;664977146;0
198;0.22624521;0.04188781;298434892;2031479251;26229016791;894516523.3;0
199;2165438245;0.00480384;3220005427;3138162108;41573297107;4236790686;0
200;0.16152609;0.01324364;0.37702441;1956047820;34033318938;544182362.2;0
201;2437258524;0.02227785;3168355054;1088400827;13791934604;387198228.6;0
202;2483993311;0.05068101;3278510065;1512837493;14242638382;1070845069;0
203;0.24411016;0.01678384;2429933713;4221013220;39049189604;819377001.9;0
204;3039362051;0.00607604;2929652941;1495696203;24872951725;1585134023;0
205;1219579848;0.06447285;3523243369;1153658607;20614831800;2824847812;0
206;3364752167;0.03932256;2969379151;685230950.4;7635723938;1118284515;0
207;2881861592;0.01562416;2770475916;767779645.2;16604414069;1091201797;0
208;0.04705049;0.00995409;9739440387;7283549642;56327400752;575046549.4;0
209;2831854756;0.0162902;2967012604;1714602599;24294563112;1358457906;0
210;2052062867;0.06413776;1150242607;520333217.7;1832319089;1580971536;0
211;0.33798541;0.02120705;4176097091;2024821507;19402446960;502200039.6;0
212;1580678642;0.00428396;1377440816;1853117695;28456907647;2563409932;0
213;0.0765912;0.00428876;0.28025369;4944676269;45666526851;268932652.8;0
214;2415292157;0.01091724;2753374282;1138774272;17358273680;567362098.9;0
